,Data,Hora,DV(Direção do Vento) - °,DVG(Direção do Vento Global) - °,MP10(Partículas Inaláveis) - µg/m3,MP2.5(Partículas Inaláveis Finas) - µg/m3,NO(Monóxido de Nitrogênio) - µg/m3,NO2(Dióxido de Nitrogênio) - µg/m3,NOx(Óxidos de Nitrogênio) - ppb,O3(Ozônio) - µg/m3,PRESS(Pressão Atmosférica) - hPa,SO2(Dióxido de Enxofre) - µg/m3,TEMP(Temperatura do Ar) - °C,UR(Umidade Relativa do Ar) - %,RADUV(Radiação Ultra-violeta) - W/m2,VV(Velocidade do Vento) - m/s,DV(Direção do Vento) - ° - Guilherme Alvaro,DVG(Direção do Vento Global) - ° - Guilherme Alvaro,MP10(Partículas Inaláveis) - µg/m3 - Guilherme Alvaro,NOx(Óxidos de Nitrogênio) - ppb - Guilherme Alvaro,O3(Ozônio) - µg/m3 - Guilherme Alvaro,PRESS(Pressão Atmosférica) - hPa - Guilherme Alvaro,TEMP(Temperatura do Ar) - °C - Guilherme Alvaro,UR(Umidade Relativa do Ar) - % - Guilherme Alvaro,VV(Velocidade do Vento) - m/s - Guilherme Alvaro,RADG(Radiação Solar Global) - W/m2 - Guilherme Alvaro,RADUV(Radiação Ultra-violeta) - W/m2 - Guilherme Alvaro
0,01/09/2020,01:00,115.0,116.0,16.0,10.0,,,,53.0,"1011,4",1.0,"21,9",100.0,,"1,5","130,0","123,0","17,0",nan,"56,0","1020,6","21,7","100,0","1,2","0,0",nan
1,01/09/2020,02:00,128.0,122.0,21.0,7.0,1.0,14.0,9.0,54.0,"1011,0",1.0,"21,9",100.0,,"1,4","116,0","118,0","34,0",nan,"56,0","1020,2","21,9","100,0","1,3","0,0",nan
2,01/09/2020,03:00,116.0,117.0,18.0,8.0,0.0,14.0,8.0,53.0,"1010,5",1.0,"22,0",100.0,,"1,1","120,0","116,0","4,0",nan,"64,0","1019,7","22,0","100,0","1,4","0,0",nan
3,01/09/2020,04:00,120.0,110.0,25.0,2.0,0.0,9.0,5.0,55.0,"1010,2",,"22,0",100.0,,"1,3","114,0","119,0","49,0",nan,"58,0","1019,4","22,0","100,0","1,5","0,0",nan
4,01/09/2020,05:00,120.0,115.0,22.0,2.0,0.0,6.0,3.0,58.0,"1010,0",1.0,"22,2",100.0,,"1,5","115,0","110,0","16,0",nan,"58,0","1019,3","21,9","100,0","1,4","0,0",nan
5,01/09/2020,06:00,121.0,109.0,29.0,8.0,0.0,20.0,11.0,,"1010,3",1.0,"22,2",100.0,,"1,1","117,0","112,0","12,0",nan,nan,"1019,6","21,8","100,0","1,2","0,0",nan
6,01/09/2020,07:00,125.0,115.0,24.0,5.0,0.0,14.0,8.0,46.0,"1011,0",0.0,"22,2",100.0,,"1,2","118,0","113,0","11,0",nan,"40,0","1020,2","21,9","100,0","1,3","2,0",nan
7,01/09/2020,08:00,117.0,115.0,24.0,9.0,0.0,16.0,8.0,45.0,"1011,6",1.0,"22,4",100.0,,"1,2","103,0","111,0","31,0",nan,"41,0","1020,8","22,2","100,0","1,4","33,0",nan
8,01/09/2020,09:00,127.0,110.0,24.0,5.0,0.0,17.0,9.0,45.0,"1012,2",1.0,"22,7",100.0,,"1,3","111,0","116,0","70,0",nan,"34,0","1021,4","22,3","100,0","1,3","48,0",nan
9,01/09/2020,10:00,122.0,118.0,26.0,8.0,0.0,12.0,7.0,51.0,"1012,7",1.0,"23,1",97.0,,"1,6","112,0","114,0","4,0",nan,"55,0","1021,8","22,9","94,0","1,5","133,0",nan
10,01/09/2020,11:00,109.0,106.0,21.0,3.0,0.0,11.0,6.0,53.0,"1012,9",1.0,"23,6",93.0,,"1,5","112,0","114,0","26,0",nan,"62,0","1022,0","23,6","89,0","1,7","185,0",nan
11,01/09/2020,12:00,117.0,108.0,18.0,7.0,0.0,11.0,6.0,58.0,"1012,6",1.0,"25,0",81.0,,"1,5","110,0","113,0","13,0",nan,"62,0","1021,7","24,6","81,0","1,7","307,0",nan
12,01/09/2020,13:00,128.0,123.0,26.0,27.0,0.0,8.0,5.0,61.0,"1012,1",1.0,"24,9",83.0,,"2,1","118,0","115,0","31,0",nan,"69,0","1021,1","25,0","79,0","1,9","326,0",nan
13,01/09/2020,14:00,128.0,116.0,28.0,23.0,0.0,11.0,6.0,56.0,"1011,5",1.0,"23,8",89.0,,"1,7","122,0","114,0","11,0",nan,"65,0","1020,5","23,8","85,0","1,9","133,0",nan
14,01/09/2020,15:00,130.0,122.0,25.0,13.0,1.0,15.0,8.0,51.0,"1010,9",1.0,"23,5",90.0,,"1,8","106,0","116,0","14,0",nan,"56,0","1020,2","23,1","88,0","1,7","71,0",nan
15,01/09/2020,16:00,129.0,124.0,25.0,12.0,0.0,11.0,6.0,56.0,"1010,8",1.0,"22,7",94.0,,"2,1","114,0","116,0","18,0",nan,"62,0","1020,0","22,7","90,0","1,8","44,0",nan
16,01/09/2020,17:00,127.0,109.0,25.0,9.0,0.0,12.0,7.0,54.0,"1010,7",1.0,"22,7",96.0,,"1,9","110,0","113,0","18,0",nan,"61,0","1019,9","22,6","92,0","2,0","33,0",nan
17,01/09/2020,18:00,86.0,82.0,23.0,12.0,1.0,12.0,7.0,54.0,"1010,7",1.0,"22,4",97.0,,"1,5","108,0","110,0","17,0",nan,"53,0","1019,9","22,2","95,0","1,8","9,0",nan
18,01/09/2020,19:00,87.0,87.0,22.0,5.0,1.0,19.0,11.0,45.0,"1010,9",1.0,"22,1",99.0,,"1,3","111,0","117,0","16,0",nan,"49,0","1020,1","21,9","98,0","1,6","0,0",nan
19,01/09/2020,20:00,91.0,102.0,24.0,2.0,0.0,13.0,7.0,49.0,"1011,0",1.0,"21,9",100.0,,"1,3","118,0","115,0","37,0",nan,"50,0","1020,3","21,6","99,0","1,5","0,0",nan
20,01/09/2020,21:00,122.0,110.0,27.0,2.0,0.0,10.0,5.0,53.0,"1011,3",1.0,"21,8",100.0,,"1,4","106,0","111,0","46,0",nan,"45,0","1020,5","21,4","100,0","1,3","0,0",nan
21,01/09/2020,22:00,125.0,121.0,27.0,1.0,0.0,16.0,8.0,47.0,"1011,3",1.0,"21,6",100.0,,"1,0","139,0","125,0","31,0",nan,"32,0","1020,5","21,1","100,0","0,8","0,0",nan
22,01/09/2020,23:00,113.0,113.0,25.0,5.0,0.0,23.0,12.0,37.0,"1011,3",0.0,"21,2",100.0,,"0,9","145,0","136,0","34,0",nan,"29,0","1020,5","20,7","100,0","0,7","0,0",nan
23,01/09/2020,24:00,777.0,95.0,26.0,7.0,0.0,31.0,16.0,26.0,"1011,1",1.0,"20,7",100.0,,"0,0","138,0","123,0","26,0",nan,"17,0","1020,3","20,4","100,0","0,7","0,0",nan
24,02/09/2020,01:00,148.0,152.0,25.0,10.0,,,,37.0,"1010,8",1.0,"20,8",100.0,,"0,9","339,0","57,0","32,0",nan,"9,0","1020,1","19,9","100,0","0,4","0,0",nan
25,02/09/2020,02:00,13.0,37.0,30.0,15.0,38.0,38.0,51.0,19.0,"1010,4",1.0,"20,7",100.0,,"0,8","777,0","333,0","18,0",nan,"6,0","1019,6","19,8","100,0","0,0","0,0",nan
26,02/09/2020,03:00,13.0,4.0,37.0,14.0,39.0,53.0,59.0,3.0,"1010,1",1.0,"20,4",100.0,,"0,9","777,0","116,0","34,0",nan,"0,0","1019,3","20,1","100,0","0,0","0,0",nan
27,02/09/2020,04:00,20.0,34.0,33.0,10.0,19.0,44.0,39.0,13.0,"1009,8",,"20,9",100.0,,"0,8","777,0","326,0","40,0",nan,"0,0","1019,0","20,3","100,0","0,0","0,0",nan
28,02/09/2020,05:00,70.0,82.0,23.0,17.0,2.0,18.0,12.0,36.0,"1009,7",1.0,"21,2",100.0,,"0,9","777,0","328,0","26,0",nan,"0,0","1018,8","20,3","100,0","0,0","0,0",nan
29,02/09/2020,06:00,53.0,52.0,18.0,10.0,2.0,18.0,12.0,,"1009,9",1.0,"21,2",100.0,,"1,0","777,0","328,0","26,0",nan,nan,"1019,1","20,3","100,0","0,0","0,0",nan
30,02/09/2020,07:00,72.0,86.0,19.0,10.0,3.0,20.0,13.0,35.0,"1010,2",1.0,"21,4",100.0,,"1,3","110,0","104,0","15,0",nan,"18,0","1019,4","20,6","100,0","0,9","2,0",nan
31,02/09/2020,08:00,94.0,95.0,15.0,10.0,3.0,20.0,13.0,36.0,"1010,4",1.0,"21,7",100.0,,"1,2","117,0","108,0","12,0",nan,"32,0","1019,6","21,1","100,0","1,1","52,0",nan
32,02/09/2020,09:00,58.0,79.0,19.0,8.0,4.0,18.0,13.0,39.0,"1010,8",1.0,"22,3",100.0,,"1,3","113,0","106,0","18,0",nan,"31,0","1020,0","21,7","100,0","1,3","101,0",nan
33,02/09/2020,10:00,40.0,49.0,17.0,7.0,6.0,23.0,17.0,35.0,"1010,9",1.0,"23,3",99.0,,"1,4","94,0","88,0","4,0",nan,"38,0","1020,2","23,0","99,0","1,0","262,0",nan
34,02/09/2020,11:00,127.0,107.0,22.0,19.0,5.0,18.0,14.0,42.0,"1010,7",1.0,"23,7",97.0,,"1,3","118,0","113,0","14,0",nan,"47,0","1019,9","24,1","92,0","1,5","357,0",nan
35,02/09/2020,12:00,128.0,124.0,17.0,0.0,2.0,10.0,7.0,50.0,"1009,9",1.0,"25,1",89.0,,"2,2","119,0","121,0","4,0",nan,"57,0","1019,2","25,6","83,0","1,9","796,0",nan
36,02/09/2020,13:00,125.0,106.0,27.0,0.0,0.0,7.0,4.0,51.0,"1008,8",1.0,"25,6",86.0,,"1,9","127,0","120,0","13,0",nan,"58,0","1018,2","25,8","81,0","2,2","676,0",nan
37,02/09/2020,14:00,105.0,98.0,27.0,0.0,2.0,9.0,6.0,49.0,"1007,7",1.0,"25,4",86.0,,"1,8","105,0","114,0","6,0",nan,"57,0","1017,1","25,9","80,0","2,2","682,0",nan
38,02/09/2020,15:00,122.0,111.0,18.0,1.0,0.0,9.0,5.0,52.0,"1006,7",1.0,"26,1",81.0,,"1,9","105,0","104,0","45,0",nan,"58,0","1016,0","26,0","78,0","2,0","487,0",nan
39,02/09/2020,16:00,55.0,80.0,25.0,4.0,0.0,9.0,5.0,50.0,"1005,9",1.0,"25,7",83.0,,"1,6","101,0","102,0","88,0",nan,"62,0","1015,2","25,6","79,0","1,9","305,0",nan
40,02/09/2020,17:00,54.0,63.0,22.0,13.0,1.0,12.0,7.0,44.0,"1005,8",1.0,"24,0",91.0,,"1,9","92,0","90,0","60,0",nan,"50,0","1014,9","24,3","86,0","1,6","88,0",nan
41,02/09/2020,18:00,54.0,69.0,24.0,6.0,1.0,17.0,10.0,37.0,"1005,8",1.0,"23,2",97.0,,"1,3","111,0","107,0","27,0",nan,"31,0","1014,8","23,2","94,0","1,4","15,0",nan
42,02/09/2020,19:00,80.0,91.0,25.0,10.0,1.0,22.0,12.0,33.0,"1005,8",1.0,"22,7",99.0,,"1,2","108,0","110,0","60,0",nan,"26,0","1014,8","22,7","96,0","1,2","0,0",nan
43,02/09/2020,20:00,116.0,100.0,25.0,10.0,2.0,29.0,17.0,27.0,"1006,1",1.0,"22,5",100.0,,"1,0","111,0","113,0","28,0",nan,"21,0","1015,1","22,3","98,0","1,0","0,0",nan
44,02/09/2020,21:00,116.0,110.0,26.0,22.0,3.0,29.0,17.0,27.0,"1006,3",1.0,"22,4",100.0,,"0,8","99,0","104,0","29,0",nan,"33,0","1015,3","22,4","97,0","1,0","0,0",nan
45,02/09/2020,22:00,125.0,108.0,32.0,26.0,3.0,34.0,21.0,23.0,"1006,4",1.0,"22,1",100.0,,"0,9","110,0","117,0","19,0",nan,"9,0","1015,3","22,3","97,0","0,9","0,0",nan
46,02/09/2020,23:00,777.0,96.0,32.0,18.0,5.0,46.0,29.0,13.0,"1006,3",1.0,"21,7",100.0,,"0,0","125,0","118,0","18,0",nan,"7,0","1015,3","22,0","99,0","0,7","0,0",nan
47,02/09/2020,24:00,777.0,154.0,21.0,17.0,10.0,51.0,36.0,7.0,"1006,1",1.0,"21,2",100.0,,"0,0","777,0","48,0","16,0",nan,"0,0","1015,3","21,0","99,0","0,0","0,0",nan
48,03/09/2020,01:00,777.0,356.0,22.0,8.0,,,,5.0,"1005,8",1.0,"20,6",100.0,,"0,0","777,0","335,0","34,0",nan,"0,0","1014,9","20,5","100,0","0,0","0,0",nan
49,03/09/2020,02:00,777.0,91.0,33.0,21.0,52.0,45.0,66.0,4.0,"1005,3",1.0,"20,2",100.0,,"0,0","777,0","18,0","14,0",nan,"0,0","1014,5","20,2","100,0","0,0","0,0",nan
50,03/09/2020,03:00,777.0,28.0,48.0,21.0,145.0,45.0,142.0,2.0,"1004,8",2.0,"20,0",100.0,,"0,0","777,0","345,0","8,0",nan,"0,0","1014,0","20,0","100,0","0,0","0,0",nan
51,03/09/2020,04:00,777.0,11.0,54.0,13.0,140.0,40.0,135.0,1.0,"1004,5",,"19,8",100.0,,"0,0","777,0","78,0","21,0",nan,"0,0","1013,6","19,8","100,0","0,0","0,0",nan
52,03/09/2020,05:00,777.0,31.0,36.0,13.0,107.0,36.0,106.0,1.0,"1004,1",1.0,"19,6",100.0,,"0,0","777,0","77,0","46,0",nan,"0,0","1013,4","19,5","100,0","0,0","0,0",nan
53,03/09/2020,06:00,777.0,18.0,44.0,16.0,145.0,38.0,139.0,,"1004,1",1.0,"19,4",100.0,,"0,0","777,0","18,0","25,0",nan,nan,"1013,4","19,2","100,0","0,0","0,0",nan
54,03/09/2020,07:00,777.0,99.0,49.0,17.0,81.0,36.0,85.0,1.0,"1004,6",1.0,"20,3",100.0,,"0,0","777,0","26,0","34,0",nan,"3,0","1013,8","19,9","100,0","0,0","9,0",nan
