Tipo de Monitoramento:;CETESB
Tipo de Rede:;Automática
Tipo de Dado:;Primários
Código da estação:;87
Nome da estação:;Cubatão-Centro

Data;Hora;Média Horária
;;MP10(Partículas Inaláveis) - µg/m3
01/01/2020;01:00;
01/01/2020;02:00;
01/01/2020;03:00;
01/01/2020;04:00;
01/01/2020;05:00;
01/01/2020;06:00;
01/01/2020;07:00;
01/01/2020;08:00;
01/01/2020;09:00;
01/01/2020;10:00;
01/01/2020;11:00;
01/01/2020;12:00;
01/01/2020;13:00;
01/01/2020;14:00;
01/01/2020;15:00;
01/01/2020;16:00;
01/01/2020;17:00;
01/01/2020;18:00;
01/01/2020;19:00;
01/01/2020;20:00;
01/01/2020;21:00;
01/01/2020;22:00;
01/01/2020;23:00;
01/01/2020;24:00;
02/01/2020;01:00;
02/01/2020;02:00;
02/01/2020;03:00;
02/01/2020;04:00;
02/01/2020;05:00;
02/01/2020;06:00;
02/01/2020;07:00;
02/01/2020;08:00;
02/01/2020;09:00;
02/01/2020;10:00;
02/01/2020;11:00;
02/01/2020;12:00;
02/01/2020;13:00;
02/01/2020;14:00;
02/01/2020;15:00;
02/01/2020;16:00;
02/01/2020;17:00;
02/01/2020;18:00;
02/01/2020;19:00;
02/01/2020;20:00;
02/01/2020;21:00;
02/01/2020;22:00;
02/01/2020;23:00;
02/01/2020;24:00;
03/01/2020;01:00;
03/01/2020;02:00;
03/01/2020;03:00;
03/01/2020;04:00;
03/01/2020;05:00;
03/01/2020;06:00;
03/01/2020;07:00;
03/01/2020;08:00;
03/01/2020;09:00;
03/01/2020;10:00;
03/01/2020;11:00;
03/01/2020;12:00;
03/01/2020;13:00;
03/01/2020;14:00;
03/01/2020;15:00;
03/01/2020;16:00;
03/01/2020;17:00;
03/01/2020;18:00;
03/01/2020;19:00;
03/01/2020;20:00;
03/01/2020;21:00;
03/01/2020;22:00;
03/01/2020;23:00;
03/01/2020;24:00;
04/01/2020;01:00;
04/01/2020;02:00;
04/01/2020;03:00;
04/01/2020;04:00;
04/01/2020;05:00;
04/01/2020;06:00;
04/01/2020;07:00;
04/01/2020;08:00;
04/01/2020;09:00;
04/01/2020;10:00;
04/01/2020;11:00;
04/01/2020;12:00;
04/01/2020;13:00;
04/01/2020;14:00;
04/01/2020;15:00;
04/01/2020;16:00;
04/01/2020;17:00;
04/01/2020;18:00;
04/01/2020;19:00;
04/01/2020;20:00;
04/01/2020;21:00;
04/01/2020;22:00;
04/01/2020;23:00;
04/01/2020;24:00;
05/01/2020;01:00;
05/01/2020;02:00;
05/01/2020;03:00;
05/01/2020;04:00;
05/01/2020;05:00;
05/01/2020;06:00;
05/01/2020;07:00;
05/01/2020;08:00;
05/01/2020;09:00;
05/01/2020;10:00;
05/01/2020;11:00;
05/01/2020;12:00;
05/01/2020;13:00;
05/01/2020;14:00;
05/01/2020;15:00;
05/01/2020;16:00;
05/01/2020;17:00;
05/01/2020;18:00;
05/01/2020;19:00;
05/01/2020;20:00;
05/01/2020;21:00;
05/01/2020;22:00;
05/01/2020;23:00;
05/01/2020;24:00;
06/01/2020;01:00;
06/01/2020;02:00;
06/01/2020;03:00;
06/01/2020;04:00;
