Tipo de Monitoramento:;CETESB
Tipo de Rede:;Automática
Tipo de Dado:;Primários
Código da estação:;119
Nome da estação:;Cubatão-Vale do Mogi

Data;Hora;Média Horária
;;MP10(Partículas Inaláveis) - µg/m3
01/01/2020;01:00;28
01/01/2020;02:00;27
01/01/2020;03:00;24
01/01/2020;04:00;33
01/01/2020;05:00;29
01/01/2020;06:00;48
01/01/2020;07:00;37
01/01/2020;08:00;18
01/01/2020;09:00;23
01/01/2020;10:00;25
01/01/2020;11:00;43
01/01/2020;12:00;26
01/01/2020;13:00;34
01/01/2020;14:00;46
01/01/2020;15:00;24
01/01/2020;16:00;36
01/01/2020;17:00;57
01/01/2020;18:00;25
01/01/2020;19:00;28
01/01/2020;20:00;47
01/01/2020;21:00;44
01/01/2020;22:00;31
01/01/2020;23:00;5
01/01/2020;24:00;5
02/01/2020;01:00;16
02/01/2020;02:00;10
02/01/2020;03:00;12
02/01/2020;04:00;9
02/01/2020;05:00;15
02/01/2020;06:00;16
02/01/2020;07:00;29
02/01/2020;08:00;20
02/01/2020;09:00;14
02/01/2020;10:00;17
02/01/2020;11:00;7
02/01/2020;12:00;25
02/01/2020;13:00;41
02/01/2020;14:00;39
02/01/2020;15:00;33
02/01/2020;16:00;32
02/01/2020;17:00;24
02/01/2020;18:00;36
02/01/2020;19:00;24
02/01/2020;20:00;19
02/01/2020;21:00;25
02/01/2020;22:00;16
02/01/2020;23:00;26
02/01/2020;24:00;15
03/01/2020;01:00;14
03/01/2020;02:00;9
03/01/2020;03:00;9
03/01/2020;04:00;19
03/01/2020;05:00;26
03/01/2020;06:00;21
03/01/2020;07:00;16
03/01/2020;08:00;14
03/01/2020;09:00;12
03/01/2020;10:00;16
03/01/2020;11:00;10
03/01/2020;12:00;21
03/01/2020;13:00;15
03/01/2020;14:00;13
03/01/2020;15:00;23
03/01/2020;16:00;6
03/01/2020;17:00;6
03/01/2020;18:00;19
03/01/2020;19:00;30
03/01/2020;20:00;18
03/01/2020;21:00;14
03/01/2020;22:00;22
03/01/2020;23:00;27
03/01/2020;24:00;23
04/01/2020;01:00;21
04/01/2020;02:00;17
04/01/2020;03:00;17
04/01/2020;04:00;26
04/01/2020;05:00;29
04/01/2020;06:00;23
04/01/2020;07:00;20
04/01/2020;08:00;9
04/01/2020;09:00;12
04/01/2020;10:00;32
04/01/2020;11:00;25
04/01/2020;12:00;33
04/01/2020;13:00;38
04/01/2020;14:00;35
04/01/2020;15:00;21
04/01/2020;16:00;11
04/01/2020;17:00;16
04/01/2020;18:00;11
04/01/2020;19:00;35
04/01/2020;20:00;35
04/01/2020;21:00;19
04/01/2020;22:00;12
04/01/2020;23:00;22
04/01/2020;24:00;20
05/01/2020;01:00;24
05/01/2020;02:00;30
05/01/2020;03:00;21
05/01/2020;04:00;20
05/01/2020;05:00;24
05/01/2020;06:00;27
05/01/2020;07:00;33
05/01/2020;08:00;18
05/01/2020;09:00;16
05/01/2020;10:00;69
05/01/2020;11:00;67
05/01/2020;12:00;24
05/01/2020;13:00;38
05/01/2020;14:00;11
05/01/2020;15:00;19
05/01/2020;16:00;19
05/01/2020;17:00;16
05/01/2020;18:00;25
05/01/2020;19:00;12
05/01/2020;20:00;14
05/01/2020;21:00;19
05/01/2020;22:00;23
05/01/2020;23:00;12
05/01/2020;24:00;11
06/01/2020;01:00;10
06/01/2020;02:00;24
06/01/2020;03:00;25
06/01/2020;04:00;25
06/01/2020;05:00;29
06/01/2020;06:00;31
06/01/2020;07:00;51
06/01/2020;08:00;91
06/01/2020;09:00;69
06/01/2020;10:00;26
06/01/2020;11:00;42
06/01/2020;12:00;60
06/01/2020;13:00;33
06/01/2020;14:00;31
06/01/2020;15:00;34
06/01/2020;16:00;146
06/01/2020;17:00;17
06/01/2020;18:00;57
06/01/2020;19:00;50
06/01/2020;20:00;44
06/01/2020;21:00;31
06/01/2020;22:00;33
06/01/2020;23:00;36
06/01/2020;24:00;33
07/01/2020;01:00;25
07/01/2020;02:00;10
07/01/2020;03:00;21
07/01/2020;04:00;22
07/01/2020;05:00;19
07/01/2020;06:00;22
07/01/2020;07:00;20
07/01/2020;08:00;12
07/01/2020;09:00;20
07/01/2020;10:00;32
07/01/2020;11:00;29
07/01/2020;12:00;34
07/01/2020;13:00;36
07/01/2020;14:00;31
07/01/2020;15:00;58
07/01/2020;16:00;65
07/01/2020;17:00;52
07/01/2020;18:00;86
07/01/2020;19:00;53
07/01/2020;20:00;16
07/01/2020;21:00;10
07/01/2020;22:00;12
07/01/2020;23:00;15
07/01/2020;24:00;15
08/01/2020;01:00;15
08/01/2020;02:00;17
08/01/2020;03:00;5
08/01/2020;04:00;25
08/01/2020;05:00;23
08/01/2020;06:00;45
08/01/2020;07:00;43
08/01/2020;08:00;43
08/01/2020;09:00;102
08/01/2020;10:00;101
08/01/2020;11:00;54
08/01/2020;12:00;52
08/01/2020;13:00;41
08/01/2020;14:00;38
08/01/2020;15:00;59
08/01/2020;16:00;75
08/01/2020;17:00;44
