Tipo de Monitoramento:;CETESB
Tipo de Rede:;Automática
Tipo de Dado:;Primários
Código da estação:;66
Nome da estação:;Cubatão-V.Parisi

Data;Hora;Média Horária
;;MP10(Partículas Inaláveis) - µg/m3
01/01/2020;01:00;42
01/01/2020;02:00;96
01/01/2020;03:00;50
01/01/2020;04:00;42
01/01/2020;05:00;28
01/01/2020;06:00;48
01/01/2020;07:00;44
01/01/2020;08:00;39
01/01/2020;09:00;69
01/01/2020;10:00;123
01/01/2020;11:00;29
01/01/2020;12:00;43
01/01/2020;13:00;51
01/01/2020;14:00;29
01/01/2020;15:00;35
01/01/2020;16:00;65
01/01/2020;17:00;56
01/01/2020;18:00;32
01/01/2020;19:00;36
01/01/2020;20:00;48
01/01/2020;21:00;62
01/01/2020;22:00;67
01/01/2020;23:00;6
01/01/2020;24:00;15
02/01/2020;01:00;26
02/01/2020;02:00;81
02/01/2020;03:00;32
02/01/2020;04:00;22
02/01/2020;05:00;42
02/01/2020;06:00;52
02/01/2020;07:00;50
02/01/2020;08:00;64
02/01/2020;09:00;41
02/01/2020;10:00;38
02/01/2020;11:00;22
02/01/2020;12:00;21
02/01/2020;13:00;36
02/01/2020;14:00;29
02/01/2020;15:00;44
02/01/2020;16:00;34
02/01/2020;17:00;45
02/01/2020;18:00;48
02/01/2020;19:00;35
02/01/2020;20:00;33
02/01/2020;21:00;16
02/01/2020;22:00;13
02/01/2020;23:00;33
02/01/2020;24:00;65
03/01/2020;01:00;73
03/01/2020;02:00;76
03/01/2020;03:00;13
03/01/2020;04:00;18
03/01/2020;05:00;23
03/01/2020;06:00;13
03/01/2020;07:00;24
03/01/2020;08:00;39
03/01/2020;09:00;34
03/01/2020;10:00;15
03/01/2020;11:00;9
03/01/2020;12:00;17
03/01/2020;13:00;31
03/01/2020;14:00;26
03/01/2020;15:00;15
03/01/2020;16:00;21
03/01/2020;17:00;19
03/01/2020;18:00;10
03/01/2020;19:00;17
03/01/2020;20:00;23
03/01/2020;21:00;32
03/01/2020;22:00;46
03/01/2020;23:00;42
03/01/2020;24:00;55
04/01/2020;01:00;38
04/01/2020;02:00;148
04/01/2020;03:00;44
04/01/2020;04:00;61
04/01/2020;05:00;54
04/01/2020;06:00;30
04/01/2020;07:00;59
04/01/2020;08:00;57
04/01/2020;09:00;38
04/01/2020;10:00;13
04/01/2020;11:00;24
04/01/2020;12:00;28
04/01/2020;13:00;26
04/01/2020;14:00;30
04/01/2020;15:00;12
04/01/2020;16:00;8
04/01/2020;17:00;14
04/01/2020;18:00;18
04/01/2020;19:00;13
04/01/2020;20:00;8
04/01/2020;21:00;16
04/01/2020;22:00;13
04/01/2020;23:00;19
04/01/2020;24:00;18
05/01/2020;01:00;20
05/01/2020;02:00;92
05/01/2020;03:00;26
05/01/2020;04:00;47
05/01/2020;05:00;36
05/01/2020;06:00;29
05/01/2020;07:00;48
05/01/2020;08:00;51
05/01/2020;09:00;88
05/01/2020;10:00;87
05/01/2020;11:00;33
05/01/2020;12:00;22
05/01/2020;13:00;9
05/01/2020;14:00;18
05/01/2020;15:00;5
05/01/2020;16:00;33
05/01/2020;17:00;37
05/01/2020;18:00;33
05/01/2020;19:00;26
05/01/2020;20:00;17
05/01/2020;21:00;22
05/01/2020;22:00;32
05/01/2020;23:00;26
05/01/2020;24:00;13
06/01/2020;01:00;39
06/01/2020;02:00;92
06/01/2020;03:00;30
06/01/2020;04:00;39
06/01/2020;05:00;41
06/01/2020;06:00;28
06/01/2020;07:00;54
06/01/2020;08:00;104
06/01/2020;09:00;72
06/01/2020;10:00;23
06/01/2020;11:00;30
06/01/2020;12:00;34
06/01/2020;13:00;15
06/01/2020;14:00;21
06/01/2020;15:00;14
06/01/2020;16:00;20
06/01/2020;17:00;11
06/01/2020;18:00;47
06/01/2020;19:00;24
06/01/2020;20:00;49
06/01/2020;21:00;51
06/01/2020;22:00;68
06/01/2020;23:00;53
06/01/2020;24:00;70
07/01/2020;01:00;90
07/01/2020;02:00;170
07/01/2020;03:00;63
07/01/2020;04:00;19
07/01/2020;05:00;45
07/01/2020;06:00;64
07/01/2020;07:00;105
07/01/2020;08:00;91
07/01/2020;09:00;95
07/01/2020;10:00;77
07/01/2020;11:00;48
07/01/2020;12:00;58
07/01/2020;13:00;62
07/01/2020;14:00;53
07/01/2020;15:00;62
07/01/2020;16:00;81
07/01/2020;17:00;42
07/01/2020;18:00;105
07/01/2020;19:00;142
07/01/2020;20:00;38
07/01/2020;21:00;53
07/01/2020;22:00;41
07/01/2020;23:00;20
07/01/2020;24:00;44
08/01/2020;01:00;19
08/01/2020;02:00;83
08/01/2020;03:00;33
08/01/2020;04:00;38
08/01/2020;05:00;48
08/01/2020;06:00;57
08/01/2020;07:00;65
08/01/2020;08:00;79
08/01/2020;09:00;85
08/01/2020;10:00;48
08/01/2020;11:00;23
08/01/2020;12:00;25
08/01/2020;13:00;17
08/01/2020;14:00;11
08/01/2020;15:00;36
08/01/2020;16:00;21
08/01/2020;17:00;29
08/01/2020;18:00;24
08/01/2020;19:00;23
08/01/2020;20:00;17
08/01/2020;21:00;21
08/01/2020;22:00;31
08/01/2020;23:00;45
08/01/2020;24:00;46
09/01/2020;01:00;29
09/01/2020;02:00;81
09/01/2020;03:00;23
09/01/2020;04:00;33
09/01/2020;05:00;15
09/01/2020;06:00;32
09/01/2020;07:00;52
09/01/2020;08:00;44
09/01/2020;09:00;40
09/01/2020;10:00;12
09/01/2020;11:00;17
09/01/2020;12:00;21
09/01/2020;13:00;10
09/01/2020;14:00;2
09/01/2020;15:00;21
09/01/2020;16:00;22
09/01/2020;17:00;29
09/01/2020;18:00;27
09/01/2020;19:00;32
09/01/2020;20:00;23
09/01/2020;21:00;61
09/01/2020;22:00;60
09/01/2020;23:00;52
09/01/2020;24:00;65
10/01/2020;01:00;45
10/01/2020;02:00;141
10/01/2020;03:00;73
10/01/2020;04:00;58
10/01/2020;05:00;73
10/01/2020;06:00;101
10/01/2020;07:00;60
10/01/2020;08:00;44
10/01/2020;09:00;35
10/01/2020;10:00;15
10/01/2020;11:00;28
10/01/2020;12:00;37
10/01/2020;13:00;40
10/01/2020;14:00;25
10/01/2020;15:00;36
10/01/2020;16:00;15
10/01/2020;17:00;39
10/01/2020;18:00;20
10/01/2020;19:00;41
10/01/2020;20:00;79
10/01/2020;21:00;72
10/01/2020;22:00;64
10/01/2020;23:00;67
10/01/2020;24:00;61
11/01/2020;01:00;75
11/01/2020;02:00;168
11/01/2020;03:00;101
11/01/2020;04:00;78
11/01/2020;05:00;57
11/01/2020;06:00;15
11/01/2020;07:00;71
11/01/2020;08:00;59
11/01/2020;09:00;59
11/01/2020;10:00;49
11/01/2020;11:00;41
11/01/2020;12:00;31
11/01/2020;13:00;41
11/01/2020;14:00;85
11/01/2020;15:00;146
11/01/2020;16:00;82
11/01/2020;17:00;53
11/01/2020;18:00;47
11/01/2020;19:00;14
11/01/2020;20:00;38
11/01/2020;21:00;34
11/01/2020;22:00;42
11/01/2020;23:00;34
11/01/2020;24:00;48
12/01/2020;01:00;40
12/01/2020;02:00;82
12/01/2020;03:00;49
12/01/2020;04:00;51
12/01/2020;05:00;52
12/01/2020;06:00;49
12/01/2020;07:00;72
12/01/2020;08:00;78
12/01/2020;09:00;62
12/01/2020;10:00;48
12/01/2020;11:00;42
12/01/2020;12:00;22
12/01/2020;13:00;19
12/01/2020;14:00;24
12/01/2020;15:00;12
12/01/2020;16:00;41
12/01/2020;17:00;102
12/01/2020;18:00;44
12/01/2020;19:00;29
12/01/2020;20:00;27
12/01/2020;21:00;25
12/01/2020;22:00;35
12/01/2020;23:00;40
12/01/2020;24:00;26
13/01/2020;01:00;33
13/01/2020;02:00;97
13/01/2020;03:00;47
13/01/2020;04:00;29
13/01/2020;05:00;28
13/01/2020;06:00;43
13/01/2020;07:00;38
13/01/2020;08:00;45
13/01/2020;09:00;92
13/01/2020;10:00;21
13/01/2020;11:00;9
13/01/2020;12:00;2
13/01/2020;13:00;29
13/01/2020;14:00;15
13/01/2020;15:00;18
13/01/2020;16:00;14
13/01/2020;17:00;31
13/01/2020;18:00;8
13/01/2020;19:00;17
13/01/2020;20:00;8
13/01/2020;21:00;18
13/01/2020;22:00;33
13/01/2020;23:00;40
13/01/2020;24:00;34
14/01/2020;01:00;37
14/01/2020;02:00;114
14/01/2020;03:00;62
14/01/2020;04:00;41
14/01/2020;05:00;34
14/01/2020;06:00;49
14/01/2020;07:00;53
14/01/2020;08:00;54
14/01/2020;09:00;63
14/01/2020;10:00;49
14/01/2020;11:00;13
14/01/2020;12:00;6
14/01/2020;13:00;16
14/01/2020;14:00;16
14/01/2020;15:00;10
14/01/2020;16:00;21
14/01/2020;17:00;27
14/01/2020;18:00;30
14/01/2020;19:00;31
14/01/2020;20:00;34
14/01/2020;21:00;15
14/01/2020;22:00;21
14/01/2020;23:00;56
14/01/2020;24:00;54
15/01/2020;01:00;40
15/01/2020;02:00;103
15/01/2020;03:00;58
15/01/2020;04:00;45
15/01/2020;05:00;67
15/01/2020;06:00;57
15/01/2020;07:00;108
15/01/2020;08:00;54
15/01/2020;09:00;47
15/01/2020;10:00;22
15/01/2020;11:00;15
15/01/2020;12:00;33
15/01/2020;13:00;39
15/01/2020;14:00;41
15/01/2020;15:00;46
15/01/2020;16:00;53
15/01/2020;17:00;50
15/01/2020;18:00;39
15/01/2020;19:00;82
15/01/2020;20:00;72
15/01/2020;21:00;71
15/01/2020;22:00;92
15/01/2020;23:00;96
15/01/2020;24:00;76
16/01/2020;01:00;115
16/01/2020;02:00;139
16/01/2020;03:00;94
16/01/2020;04:00;117
16/01/2020;05:00;99
16/01/2020;06:00;103
16/01/2020;07:00;131
16/01/2020;08:00;163
16/01/2020;09:00;81
16/01/2020;10:00;71
16/01/2020;11:00;53
16/01/2020;12:00;129
16/01/2020;13:00;84
16/01/2020;14:00;133
16/01/2020;15:00;169
16/01/2020;16:00;37
16/01/2020;17:00;38
16/01/2020;18:00;57
16/01/2020;19:00;43
16/01/2020;20:00;64
16/01/2020;21:00;48
16/01/2020;22:00;19
16/01/2020;23:00;29
16/01/2020;24:00;9
17/01/2020;01:00;8
17/01/2020;02:00;66
17/01/2020;03:00;41
17/01/2020;04:00;30
17/01/2020;05:00;21
17/01/2020;06:00;28
17/01/2020;07:00;20
17/01/2020;08:00;15
17/01/2020;09:00;8
17/01/2020;10:00;9
17/01/2020;11:00;16
17/01/2020;12:00;11
17/01/2020;13:00;6
17/01/2020;14:00;10
17/01/2020;15:00;13
17/01/2020;16:00;15
17/01/2020;17:00;8
17/01/2020;18:00;12
17/01/2020;19:00;21
17/01/2020;20:00;18
17/01/2020;21:00;14
17/01/2020;22:00;21
17/01/2020;23:00;10
17/01/2020;24:00;4
18/01/2020;01:00;10
18/01/2020;02:00;40
18/01/2020;03:00;11
18/01/2020;04:00;13
18/01/2020;05:00;4
18/01/2020;06:00;23
18/01/2020;07:00;16
18/01/2020;08:00;21
18/01/2020;09:00;41
18/01/2020;10:00;12
18/01/2020;11:00;11
18/01/2020;12:00;12
18/01/2020;13:00;16
18/01/2020;14:00;13
18/01/2020;15:00;21
18/01/2020;16:00;10
18/01/2020;17:00;18
18/01/2020;18:00;8
18/01/2020;19:00;14
18/01/2020;20:00;21
18/01/2020;21:00;9
18/01/2020;22:00;8
18/01/2020;23:00;17
18/01/2020;24:00;7
19/01/2020;01:00;9
19/01/2020;02:00;61
19/01/2020;03:00;33
19/01/2020;04:00;29
19/01/2020;05:00;46
19/01/2020;06:00;38
19/01/2020;07:00;50
19/01/2020;08:00;45
19/01/2020;09:00;60
19/01/2020;10:00;34
19/01/2020;11:00;24
19/01/2020;12:00;15
19/01/2020;13:00;50
19/01/2020;14:00;41
19/01/2020;15:00;13
19/01/2020;16:00;9
