Tipo de Monitoramento:;CETESB
Tipo de Rede:;Automática
Tipo de Dado:;Primários
Código da estação:;260
Nome da estação:;Santos-Ponta da Praia

Data;Hora;Média Horária;Média Horária
;;MP10(Partículas Inaláveis) - µg/m3;MP2.5(Partículas Inaláveis Finas) - µg/m3
01/01/2021;01:00;21;21
01/01/2021;02:00;20;38
01/01/2021;03:00;15;26
01/01/2021;04:00;14;12
01/01/2021;05:00;11;12
01/01/2021;06:00;14;14
01/01/2021;07:00;;
01/01/2021;08:00;;
01/01/2021;09:00;;
01/01/2021;10:00;16;0
01/01/2021;11:00;7;0
01/01/2021;12:00;7;0
01/01/2021;13:00;11;2
01/01/2021;14:00;3;0
01/01/2021;15:00;10;5
01/01/2021;16:00;10;2
01/01/2021;17:00;5;7
01/01/2021;18:00;13;27
01/01/2021;19:00;11;27
01/01/2021;20:00;8;16
01/01/2021;21:00;20;9
01/01/2021;22:00;20;9
01/01/2021;23:00;23;11
01/01/2021;24:00;23;15
02/01/2021;01:00;17;1
02/01/2021;02:00;15;0
02/01/2021;03:00;14;0
02/01/2021;04:00;9;1
02/01/2021;05:00;9;2
02/01/2021;06:00;5;4
02/01/2021;07:00;3;3
02/01/2021;08:00;9;4
02/01/2021;09:00;6;16
02/01/2021;10:00;12;16
02/01/2021;11:00;11;10
02/01/2021;12:00;24;20
02/01/2021;13:00;1;4
02/01/2021;14:00;;
02/01/2021;15:00;15;14
02/01/2021;16:00;17;9
02/01/2021;17:00;3;0
02/01/2021;18:00;14;1
02/01/2021;19:00;9;3
02/01/2021;20:00;10;2
02/01/2021;21:00;2;4
02/01/2021;22:00;4;4
02/01/2021;23:00;4;4
02/01/2021;24:00;6;6
03/01/2021;01:00;8;9
03/01/2021;02:00;;
03/01/2021;03:00;;
03/01/2021;04:00;;
03/01/2021;05:00;;
03/01/2021;06:00;;
03/01/2021;07:00;;
03/01/2021;08:00;;
03/01/2021;09:00;;
03/01/2021;10:00;12;1
03/01/2021;11:00;24;2
03/01/2021;12:00;7;0
03/01/2021;13:00;13;4
03/01/2021;14:00;10;0
03/01/2021;15:00;4;3
03/01/2021;16:00;18;7
03/01/2021;17:00;13;24
03/01/2021;18:00;22;25
03/01/2021;19:00;2;10
03/01/2021;20:00;12;12
03/01/2021;21:00;19;13
03/01/2021;22:00;18;9
03/01/2021;23:00;23;14
03/01/2021;24:00;12;5
04/01/2021;01:00;4;0
04/01/2021;02:00;10;0
04/01/2021;03:00;6;1
04/01/2021;04:00;10;3
04/01/2021;05:00;15;7
04/01/2021;06:00;22;17
04/01/2021;07:00;18;7
04/01/2021;08:00;10;9
04/01/2021;09:00;24;34
04/01/2021;10:00;23;25
04/01/2021;11:00;19;12
04/01/2021;12:00;11;8
04/01/2021;13:00;4;4
04/01/2021;14:00;;
04/01/2021;15:00;;
04/01/2021;16:00;;
04/01/2021;17:00;9;0
04/01/2021;18:00;8;0
04/01/2021;19:00;12;2
04/01/2021;20:00;11;0
04/01/2021;21:00;12;9
04/01/2021;22:00;18;6
04/01/2021;23:00;21;11
04/01/2021;24:00;19;11
05/01/2021;01:00;19;16
05/01/2021;02:00;25;22
05/01/2021;03:00;15;22
05/01/2021;04:00;22;13
05/01/2021;05:00;18;10
05/01/2021;06:00;26;12
05/01/2021;07:00;;
