,Time,Working Mode,V MPPT 1(V),I MPPT 1(A),Ua(V),I AC 1(A),F AC 1(Hz),Power(W),Temperature(℃),Generation Today(kWh),Total Generation(kWh),H Total(h)
0,09.01.2020 06:51:57,Wait,145.0,0.0,219.1,0.0,60.0,0,21.9,0.0,863.9,2137
1,09.01.2020 06:57:58,Wait,148.8,0.0,218.7,0.0,60.0,0,22.0,0.0,863.9,2137
2,09.01.2020 07:01:57,Wait,151.4,0.0,218.7,0.0,59.98,0,22.0,0.0,863.9,2137
3,09.01.2020 07:07:57,Wait,152.8,0.0,219.1,0.0,59.97,0,22.1,0.0,863.9,2137
4,09.01.2020 07:11:57,Wait,153.4,0.0,218.9,0.0,59.94,0,22.2,0.0,863.9,2137
5,09.01.2020 07:19:57,Normal,130.9,0.5,217.8,0.2,59.98,48,22.7,0.0,863.9,2137
6,09.01.2020 07:21:57,Normal,134.9,0.5,218.5,0.2,59.97,49,22.9,0.0,863.9,2137
7,09.01.2020 07:25:59,Normal,137.8,0.5,218.6,0.2,60.01,48,23.2,0.0,863.9,2137
8,09.01.2020 07:31:57,Normal,137.6,0.5,217.5,0.2,60.01,48,23.4,0.0,863.9,2137
9,09.01.2020 07:37:57,Normal,135.1,0.5,217.9,0.2,60.02,47,23.7,0.0,863.9,2138
10,09.01.2020 07:41:57,Normal,134.8,0.5,218.3,0.2,60.01,46,23.9,0.0,863.9,2138
11,09.01.2020 07:53:57,Normal,133.8,0.6,219.4,0.2,60.03,57,24.4,0.0,863.9,2138
12,09.01.2020 07:57:59,Normal,134.2,0.5,218.5,0.2,59.99,50,24.5,0.0,863.9,2138
13,09.01.2020 08:03:58,Normal,133.9,0.5,218.3,0.2,60.0,48,24.7,0.0,863.9,2138
14,09.01.2020 08:09:57,Normal,134.8,0.5,217.9,0.2,59.98,44,24.8,0.0,863.9,2138
15,09.01.2020 08:11:57,Normal,134.0,0.5,218.8,0.2,59.99,46,24.9,0.0,863.9,2138
16,09.01.2020 08:19:57,Normal,132.4,0.5,218.8,0.2,60.0,49,25.0,0.1,864.0,2138
17,09.01.2020 08:21:57,Normal,136.1,0.5,218.6,0.2,59.99,50,25.1,0.1,864.0,2138
18,09.01.2020 08:25:57,Normal,134.0,0.5,218.1,0.2,59.98,47,25.2,0.1,864.0,2139
19,09.01.2020 08:31:57,Normal,134.9,0.5,218.2,0.2,59.95,54,25.3,0.1,864.0,2139
